id,ad_group_id,ad_group_name,campaign_id,campaign_name,match_type,keyword,clicks,conversions,cost,impressions,ctr,average_cpm,interactions,created_at,updated_at,created_by,updated_by
5085,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non invasive herniated disc treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5086,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical cervical spine decompression,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5087,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical herniated disk treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5088,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical relief for spinal stenosis,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5089,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical treatment for lumbar herniated disc,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5090,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical treatment of knee osteoarthritis,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5091,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical treatment for bone on bone knee pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5092,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical treatment for cervical radiculopathy,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5093,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,latest non surgical knee treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5094,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,non surgical options for carpal tunnel syndrome,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5095,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,bone spur non surgical treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5096,158143959728,Non_Sugical_Treatement_Exact,20461647350,BI_Search_Injection_Aug'23,PHRASE,degenerative disc disease non surgical treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
